date,time,total_sale_24h,total_sold_24h,total_sale_7d,total_sold_7d,total_sale_31d,total_sold_31d
2021-11-08,10:41:03,161,14,1199,182,6629,1516
2021-11-08,10:54:32,163,14,1201,183,6629,1517
2021-11-08,10:54:48,163,14,1200,183,6629,1517
2021-11-08,11:00:04,164,14,1200,183,6630,1517
2021-11-08,12:00:04,162,14,1201,182,6629,1518
2021-11-08,13:00:03,161,14,1201,181,6617,1513
2021-11-08,14:00:04,158,14,1195,181,6608,1511
2021-11-08,15:00:03,159,15,1193,178,6593,1507
2021-11-08,16:00:04,161,16,1192,178,6576,1505
2021-11-08,17:00:04,165,18,1186,180,6568,1503
2021-11-08,18:00:04,153,14,1184,180,6564,1501
2021-11-08,19:00:03,149,14,1181,179,6547,1498
2021-11-08,20:00:04,147,13,1185,179,6546,1495
2021-11-08,21:00:04,144,13,1183,180,6543,1491
2021-11-08,22:00:05,148,12,1183,179,6541,1488
2021-11-08,23:00:05,147,13,1186,181,6537,1485
2021-11-09,00:00:05,149,14,1188,181,6538,1485
2021-11-09,07:34:04,151,15,1183,186,6498,1472
2021-11-09,07:34:05,151,15,1183,186,6498,1472
2021-11-09,08:00:04,147,16,1182,189,6489,1474
2021-11-09,09:00:03,148,17,1181,190,6486,1475
2021-11-09,10:00:04,152,21,1185,194,6481,1479
2021-11-09,11:00:03,153,19,1187,195,6477,1480
2021-11-09,12:00:04,154,18,1187,194,6474,1476
2021-11-09,13:00:03,154,18,1190,195,6469,1474
2021-11-09,14:00:03,154,19,1187,193,6458,1472
2021-11-09,15:00:03,155,18,1193,193,6447,1465
2021-11-09,16:00:03,149,18,1188,194,6429,1460
2021-11-09,16:21:19,144,17,1186,193,6425,1460
2021-11-09,17:00:04,141,15,1185,193,6412,1457
2021-11-09,18:00:04,138,15,1184,192,6409,1456
2021-11-09,19:00:04,135,14,1178,190,6392,1450
2021-11-09,20:00:03,133,12,1175,189,6380,1447
2021-11-09,21:00:05,129,11,1172,188,6371,1444
2021-11-09,22:00:04,126,11,1173,189,6372,1445
2021-11-09,23:00:05,123,12,1171,190,6364,1443
