date,acc_id,tr_type,ship_id,tr_id,price,resale_discount
2021-10-08,1,buy,47629,99999,0.24,
2021-10-11,1,sell,47629,21414,0.11,2.18
2021-10-11,1,buy,28213,21461,0.07,
2021-10-13,1,sell,28213,21992,0.08800000000000001,0.85
2021-10-13,1,buy,10830,22195,0.08,
2021-10-13,1,sell,10830,22197,0.11,0.85
2021-10-13,1,buy,20958,22302,0.1,
2021-10-14,1,sell,20958,22306,0.12,0.85
2021-10-14,1,buy,17943,99999,0.127,
2021-10-14,1,sell,17943,22640,0.15,0.85
2021-10-15,1,buy,22073,22664,0.12,
2021-09-16,2,buy,8384,12266,0.105,
2021-10-04,2,sell,8384,19273,0.1,1.1
2021-10-07,2,buy,3111,20190,0.14400000000000002,
2021-10-16,2,sell,3111,99999,0.14400000000000002,1.0
2021-10-16,2,buy,20971,23127,0.07,
2021-10-15,3,buy,18219,99999,0.07400000000000001,
2021-10-17,3,sell,18219,22953,0.1,0.85
2021-10-16,4,buy,9052,23076,0.075,
2021-10-16,2,resell,20971,23128,0.12,0.85
2021-10-16,4,resell,9052,23087,0.1,0.85
2021-10-19,1,sell,22073,22758,0.14,0.0
2021-10-19,1,buy,14165,99999,0.09,
2021-10-19,1,resell,14165,24072,0.11,
2021-10-21,3,buy,18426,99999,0.1,
2021-10-26,5,buy,10676,99999,0.08,
2021-10-26,5,resell,10676,25573,0.11,0.72
2021-11-01,1,resell,14165,14165,0.092,0.85
2021-11-01,2,resell,20971,20971,0.096,0.85
2021-11-01,3,resell,18426,18426,0.135,0.85
2021-11-01,4,resell,9052,9052,0.076,0.85
2021-11-04,5,sell,10676,25573,0.11,0.72
2021-11-04,1,resell,14165,14165,0.086,0.75
2021-11-04,2,resell,20971,20971,0.081,0.75
2021-11-06,3,resell,18426,18426,0.111,0.7
2021-11-06,4,resell,9052,9052,0.059000000000000004,0.7
2021-11-06,5,buy,27246,27102,0.055,1.0
2021-11-06,5,resell,27246,27246,0.076,1.0
2021-11-06,5,sell,27246,27246,0.076,1.0
2021-11-07,5,buy,30025,27333,0.04,
2021-11-07,5,resell,30025,30025,0.0579999999999999,1.0
2021-11-07,5,sell,30025,30025,0.0579999999999999,1.0
2021-11-10,4,resell,9052,9052,0.05,0.6
2021-11-10,3,resell,18426,18426,0.1,1.0
2021-11-10,4,sell,9052,9052,0.05,0.6
2021-11-11,2,resell,20971,20971,0.077,1.0
2021-11-11,2,sell,20971,20971,0.077,1.0
2021-11-11,2,buy,31954,27843,0.04,
2021-11-12,2,resell,31954,31954,0.09,1.0
2021-11-12,1,resell,14165,14165,0.0819999999999999,1.0
2021-11-13,3,resell,18426,18426,0.09,1.0
2021-11-15,2,resell,31954,31954,0.09,1.0
2021-11-17,1,resell,14165,14165,0.078,1.0
2021-11-17,5,buy,37681,28583,0.03,
2021-11-17,5,resell,37681,37681,0.06,99.0
